"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
HHS Regions,Region 1,2015,XX,39,0,5,0,0,0,0,0
HHS Regions,Region 2,2015,XX,56,1,4,0,1,0,0,0
HHS Regions,Region 3,2015,XX,132,1,3,0,0,0,0,0
HHS Regions,Region 4,2015,XX,83,0,5,0,1,0,0,0
HHS Regions,Region 5,2015,XX,218,2,7,0,0,0,1,0
HHS Regions,Region 6,2015,XX,97,0,2,0,0,0,0,0
HHS Regions,Region 7,2015,XX,36,0,2,0,0,0,0,0
HHS Regions,Region 8,2015,XX,71,0,2,0,0,0,0,0
HHS Regions,Region 9,2015,XX,273,0,22,2,8,0,0,0
HHS Regions,Region 10,2015,XX,134,0,13,0,0,0,0,0
HHS Regions,Region 1,2015,XX,39,2,3,0,0,0,0,0
HHS Regions,Region 2,2015,XX,73,0,5,0,1,0,0,0
HHS Regions,Region 3,2015,XX,163,1,0,0,0,0,0,0
HHS Regions,Region 4,2015,XX,104,0,1,0,2,0,0,0
HHS Regions,Region 5,2015,XX,249,2,4,0,0,0,0,0
HHS Regions,Region 6,2015,XX,106,0,6,0,1,1,0,0
HHS Regions,Region 7,2015,XX,34,0,2,0,0,0,0,0
HHS Regions,Region 8,2015,XX,58,0,3,1,0,1,0,0
HHS Regions,Region 9,2015,XX,220,0,7,1,3,1,0,0
HHS Regions,Region 10,2015,XX,106,0,10,0,0,0,0,0
HHS Regions,Region 1,2015,XX,27,0,3,0,0,0,0,0
HHS Regions,Region 2,2015,XX,75,4,0,0,0,0,0,0
HHS Regions,Region 3,2015,XX,168,1,4,0,0,0,0,0
HHS Regions,Region 4,2015,XX,135,1,4,0,2,0,0,0
HHS Regions,Region 5,2015,XX,248,3,3,0,0,0,0,0
HHS Regions,Region 6,2015,XX,124,0,1,0,0,0,0,0
HHS Regions,Region 7,2015,XX,44,0,9,0,0,0,0,0
HHS Regions,Region 8,2015,XX,44,0,1,0,0,0,0,0
HHS Regions,Region 9,2015,XX,215,1,16,1,6,1,0,0
HHS Regions,Region 10,2015,XX,118,0,9,0,0,2,2,0
HHS Regions,Region 1,2015,XX,35,0,1,0,0,0,0,0
HHS Regions,Region 2,2015,XX,92,1,2,0,1,0,0,0
HHS Regions,Region 3,2015,XX,171,2,2,0,0,0,3,0
HHS Regions,Region 4,2015,XX,131,0,5,1,1,0,0,0
HHS Regions,Region 5,2015,XX,293,5,2,3,0,0,0,0
HHS Regions,Region 6,2015,XX,123,0,1,0,3,0,0,0
HHS Regions,Region 7,2015,XX,53,0,5,0,0,1,1,0
HHS Regions,Region 8,2015,XX,59,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,XX,191,1,11,0,4,0,0,0
HHS Regions,Region 10,2015,XX,96,0,2,0,0,0,0,0
HHS Regions,Region 1,2015,XX,47,0,0,0,0,0,0,0
HHS Regions,Region 2,2015,XX,98,1,3,0,0,0,0,0
HHS Regions,Region 3,2015,XX,187,0,2,0,0,0,1,0
HHS Regions,Region 4,2015,XX,170,0,3,0,0,0,0,0
HHS Regions,Region 5,2015,XX,393,0,1,3,1,0,1,0
HHS Regions,Region 6,2015,XX,141,0,1,0,2,0,1,0
HHS Regions,Region 7,2015,XX,43,1,3,0,0,0,0,0
HHS Regions,Region 8,2015,XX,53,0,1,0,0,1,0,0
HHS Regions,Region 9,2015,XX,248,1,6,1,5,0,1,0
HHS Regions,Region 10,2015,XX,85,1,3,0,1,0,0,0
HHS Regions,Region 1,2015,XX,41,1,2,0,0,1,0,0
HHS Regions,Region 2,2015,XX,72,0,3,0,1,0,0,0
HHS Regions,Region 3,2015,XX,153,0,2,0,1,0,0,0
HHS Regions,Region 4,2015,XX,166,2,3,1,5,0,0,0
HHS Regions,Region 5,2015,XX,368,3,1,0,0,1,1,0
HHS Regions,Region 6,2015,XX,120,1,3,0,1,0,1,0
HHS Regions,Region 7,2015,XX,33,0,0,0,1,0,0,0
HHS Regions,Region 8,2015,XX,63,2,1,0,0,0,0,0
HHS Regions,Region 9,2015,XX,283,2,15,0,1,2,0,0
HHS Regions,Region 10,2015,XX,94,0,4,0,0,0,0,0
HHS Regions,Region 1,2015,XX,34,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,XX,121,4,16,0,0,0,0,0
HHS Regions,Region 3,2015,XX,209,0,1,0,0,0,0,0
HHS Regions,Region 4,2015,XX,178,0,4,0,2,0,0,0
HHS Regions,Region 5,2015,XX,374,7,2,1,0,0,0,0
HHS Regions,Region 6,2015,XX,113,0,0,0,0,0,0,0
HHS Regions,Region 7,2015,XX,30,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,XX,57,1,4,0,0,0,1,0
HHS Regions,Region 9,2015,XX,258,4,11,0,1,0,3,0
HHS Regions,Region 10,2015,XX,84,0,4,0,1,0,0,0
HHS Regions,Region 1,2015,XX,28,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,XX,89,2,6,0,0,0,0,0
HHS Regions,Region 3,2015,XX,184,4,1,0,0,0,3,0
HHS Regions,Region 4,2015,XX,116,0,0,0,3,0,0,0
HHS Regions,Region 5,2015,XX,281,3,1,0,0,0,0,0
HHS Regions,Region 6,2015,XX,55,0,1,0,0,0,0,0
HHS Regions,Region 7,2015,XX,28,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,XX,59,2,1,0,0,1,0,0
HHS Regions,Region 9,2015,XX,237,4,10,0,1,2,3,0
HHS Regions,Region 10,2015,XX,80,1,4,0,0,0,3,0
HHS Regions,Region 1,2015,XX,47,3,1,0,1,0,0,0
HHS Regions,Region 2,2015,XX,86,4,11,1,0,0,0,0
HHS Regions,Region 3,2015,XX,229,2,2,0,0,1,4,0
HHS Regions,Region 4,2015,XX,149,1,0,0,3,0,1,0
HHS Regions,Region 5,2015,XX,374,4,4,0,0,0,0,0
HHS Regions,Region 6,2015,XX,127,1,1,0,1,0,0,0
HHS Regions,Region 7,2015,XX,35,0,1,0,0,0,0,0
HHS Regions,Region 8,2015,XX,63,4,2,0,1,0,0,0
HHS Regions,Region 9,2015,XX,346,7,8,2,2,2,6,0
HHS Regions,Region 10,2015,XX,94,1,6,0,1,0,1,0
HHS Regions,Region 1,2015,XX,26,1,0,0,0,0,0,0
HHS Regions,Region 2,2015,XX,74,0,6,0,0,0,0,0
HHS Regions,Region 3,2015,XX,215,2,0,0,0,0,1,0
HHS Regions,Region 4,2015,XX,176,0,1,2,9,1,0,0
HHS Regions,Region 5,2015,XX,369,9,1,0,1,0,4,0
HHS Regions,Region 6,2015,XX,109,1,4,0,0,0,1,0
HHS Regions,Region 7,2015,XX,32,0,0,0,0,0,0,0
HHS Regions,Region 8,2015,XX,67,5,5,0,0,0,1,0
HHS Regions,Region 9,2015,XX,342,17,15,1,0,0,3,0
HHS Regions,Region 10,2015,XX,108,3,5,0,1,1,1,0
HHS Regions,Region 1,2015,XX,36,2,1,0,0,0,0,0
HHS Regions,Region 2,2015,XX,83,4,15,0,1,0,0,0
HHS Regions,Region 3,2015,XX,237,1,0,0,0,1,2,0
HHS Regions,Region 4,2015,XX,154,7,0,0,4,0,0,0
HHS Regions,Region 5,2015,XX,351,18,6,0,0,0,2,0
HHS Regions,Region 6,2015,XX,105,0,3,0,0,1,0,0
HHS Regions,Region 7,2015,XX,50,1,0,0,0,0,0,0
HHS Regions,Region 8,2015,XX,70,14,3,0,0,0,4,0
HHS Regions,Region 9,2015,XX,292,15,10,0,3,2,11,0
HHS Regions,Region 10,2015,XX,97,7,1,0,2,0,0,0
HHS Regions,Region 1,2015,XX,43,2,3,0,0,0,0,0
HHS Regions,Region 2,2015,XX,77,7,10,1,0,2,0,0
HHS Regions,Region 3,2015,XX,192,15,3,0,0,0,1,0
HHS Regions,Region 4,2015,XX,96,2,1,0,5,0,0,0
HHS Regions,Region 5,2015,XX,325,12,1,0,0,0,1,0
HHS Regions,Region 6,2015,XX,59,1,2,0,1,0,1,0
HHS Regions,Region 7,2015,XX,18,2,0,0,0,0,0,0
HHS Regions,Region 8,2015,XX,88,15,4,0,0,0,12,0
HHS Regions,Region 9,2015,XX,258,25,9,0,3,1,10,0
HHS Regions,Region 10,2015,XX,89,8,0,0,3,0,3,0
HHS Regions,Region 1,2015,XX,32,1,1,0,0,0,0,0
HHS Regions,Region 2,2015,XX,84,16,4,0,0,0,1,0
HHS Regions,Region 3,2015,XX,226,5,4,0,0,1,2,0
HHS Regions,Region 4,2015,XX,129,2,1,0,2,0,0,0
HHS Regions,Region 5,2015,XX,353,16,1,0,0,0,3,0
HHS Regions,Region 6,2015,XX,54,3,0,0,1,0,1,0
HHS Regions,Region 7,2015,XX,31,3,1,0,0,1,0,0
HHS Regions,Region 8,2015,XX,93,33,2,0,0,1,7,0
HHS Regions,Region 9,2015,XX,374,62,37,1,9,1,14,0
HHS Regions,Region 10,2015,XX,109,5,5,0,1,5,7,0
HHS Regions,Region 1,2016,XX,60,3,3,0,1,0,1,0
HHS Regions,Region 2,2016,XX,83,18,2,0,1,1,1,0
HHS Regions,Region 3,2016,XX,269,3,1,0,1,0,1,0
HHS Regions,Region 4,2016,XX,186,16,2,0,1,1,0,0
HHS Regions,Region 5,2016,XX,329,23,0,0,0,0,2,0
HHS Regions,Region 6,2016,XX,106,2,3,0,1,0,1,0
HHS Regions,Region 7,2016,XX,43,2,0,0,0,0,0,0
HHS Regions,Region 8,2016,XX,109,32,3,0,0,1,17,0
HHS Regions,Region 9,2016,XX,544,121,52,0,5,7,23,0
HHS Regions,Region 10,2016,XX,112,12,2,2,4,2,6,0
HHS Regions,Region 1,2016,XX,45,7,2,0,3,0,1,0
HHS Regions,Region 2,2016,XX,98,26,4,0,2,5,0,0
HHS Regions,Region 3,2016,XX,212,9,3,0,0,0,2,0
HHS Regions,Region 4,2016,XX,195,18,12,1,13,0,0,0
HHS Regions,Region 5,2016,XX,296,24,3,1,0,0,3,0
HHS Regions,Region 6,2016,XX,97,8,3,0,4,0,1,0
HHS Regions,Region 7,2016,XX,41,8,2,0,0,0,0,0
HHS Regions,Region 8,2016,XX,81,27,3,0,1,2,14,0
HHS Regions,Region 9,2016,XX,548,108,53,1,18,10,29,0
HHS Regions,Region 10,2016,XX,135,21,4,2,6,6,10,0
HHS Regions,Region 1,2016,XX,63,13,2,0,2,1,0,0
HHS Regions,Region 2,2016,XX,103,29,3,0,0,1,1,0
HHS Regions,Region 3,2016,XX,195,17,3,0,1,1,0,0
HHS Regions,Region 4,2016,XX,153,24,8,1,10,3,0,0
HHS Regions,Region 5,2016,XX,392,58,14,4,0,1,4,0
HHS Regions,Region 6,2016,XX,110,11,6,0,1,0,1,0
HHS Regions,Region 7,2016,XX,53,4,2,0,1,2,2,0
HHS Regions,Region 8,2016,XX,126,40,1,0,2,2,22,0
HHS Regions,Region 9,2016,XX,582,139,57,7,19,14,31,0
HHS Regions,Region 10,2016,XX,169,26,4,1,9,0,22,0
HHS Regions,Region 1,2016,XX,88,20,1,0,5,0,0,0
HHS Regions,Region 2,2016,XX,118,24,5,0,5,0,1,0
HHS Regions,Region 3,2016,XX,256,15,2,4,4,2,9,0
HHS Regions,Region 4,2016,XX,240,46,16,1,14,1,0,0
HHS Regions,Region 5,2016,XX,482,102,28,7,0,1,6,0
HHS Regions,Region 6,2016,XX,169,12,11,0,1,2,1,0
HHS Regions,Region 7,2016,XX,67,17,2,0,0,0,1,0
HHS Regions,Region 8,2016,XX,180,71,6,0,4,3,27,0
HHS Regions,Region 9,2016,XX,730,168,88,3,45,16,43,0
HHS Regions,Region 10,2016,XX,238,51,1,0,19,3,16,0
HHS Regions,Region 1,2016,XX,129,50,5,0,5,3,1,0
HHS Regions,Region 2,2016,XX,147,35,8,1,1,5,2,0
HHS Regions,Region 3,2016,XX,272,34,3,2,2,5,2,0
HHS Regions,Region 4,2016,XX,260,50,16,3,21,3,3,0
HHS Regions,Region 5,2016,XX,482,103,14,3,0,4,3,0
HHS Regions,Region 6,2016,XX,169,14,14,0,7,3,7,0
HHS Regions,Region 7,2016,XX,82,39,1,0,0,1,4,0
HHS Regions,Region 8,2016,XX,239,113,4,0,4,4,37,0
HHS Regions,Region 9,2016,XX,733,188,102,4,49,29,55,0
HHS Regions,Region 10,2016,XX,214,46,4,0,9,5,29,0
HHS Regions,Region 1,2016,XX,160,51,4,0,4,11,4,0
HHS Regions,Region 2,2016,XX,176,43,13,2,6,8,4,0
HHS Regions,Region 3,2016,XX,287,62,0,4,5,3,4,0
HHS Regions,Region 4,2016,XX,323,83,17,2,17,2,3,0
HHS Regions,Region 5,2016,XX,518,160,15,2,2,2,10,0
HHS Regions,Region 6,2016,XX,164,29,25,1,18,2,3,0
HHS Regions,Region 7,2016,XX,81,39,2,0,0,0,3,0
HHS Regions,Region 8,2016,XX,221,124,6,0,2,4,37,0
HHS Regions,Region 9,2016,XX,1029,247,152,5,84,35,97,0
HHS Regions,Region 10,2016,XX,243,53,2,1,23,4,41,0
HHS Regions,Region 1,2016,XX,168,84,11,0,10,4,1,0
HHS Regions,Region 2,2016,XX,215,89,5,2,3,12,5,0
HHS Regions,Region 3,2016,XX,385,159,7,1,5,6,12,0
HHS Regions,Region 4,2016,XX,364,130,21,1,21,4,3,0
HHS Regions,Region 5,2016,XX,647,251,14,2,0,2,7,0
HHS Regions,Region 6,2016,XX,248,44,31,9,12,9,6,0
HHS Regions,Region 7,2016,XX,85,29,6,1,0,4,14,0
HHS Regions,Region 8,2016,XX,346,194,12,0,4,8,48,0
HHS Regions,Region 9,2016,XX,1146,297,147,3,103,49,176,0
HHS Regions,Region 10,2016,XX,294,63,2,0,21,5,37,0
HHS Regions,Region 1,2016,XX,219,113,3,0,12,6,2,0
HHS Regions,Region 2,2016,XX,290,151,7,2,4,9,4,0
HHS Regions,Region 3,2016,XX,615,303,12,4,17,28,29,0
HHS Regions,Region 4,2016,XX,347,125,18,2,25,9,4,0
HHS Regions,Region 5,2016,XX,732,303,15,12,0,11,22,0
HHS Regions,Region 6,2016,XX,309,71,36,1,27,10,8,0
HHS Regions,Region 7,2016,XX,126,47,3,0,2,5,19,0
HHS Regions,Region 8,2016,XX,390,220,21,1,4,7,54,0
HHS Regions,Region 9,2016,XX,1162,248,115,4,99,59,189,0
HHS Regions,Region 10,2016,XX,361,91,2,2,25,12,52,0
HHS Regions,Region 1,2016,XX,257,135,4,0,20,9,6,0
HHS Regions,Region 2,2016,XX,270,131,6,4,6,11,7,0
HHS Regions,Region 3,2016,XX,666,374,12,7,7,18,28,0
HHS Regions,Region 4,2016,XX,352,143,20,2,21,10,8,0
HHS Regions,Region 5,2016,XX,812,386,15,10,4,20,28,0
HHS Regions,Region 6,2016,XX,345,93,31,4,26,8,11,0
HHS Regions,Region 7,2016,XX,106,52,3,2,1,2,14,0
HHS Regions,Region 8,2016,XX,458,241,56,2,2,16,51,0
HHS Regions,Region 9,2016,XX,1067,241,156,1,90,46,148,0
HHS Regions,Region 10,2016,XX,354,90,10,0,34,3,46,0
HHS Regions,Region 1,2016,XX,398,244,16,3,24,10,4,0
HHS Regions,Region 2,2016,XX,313,182,9,2,6,11,8,0
HHS Regions,Region 3,2016,XX,777,453,24,10,15,40,51,0
HHS Regions,Region 4,2016,XX,429,179,28,5,37,8,8,0
HHS Regions,Region 5,2016,XX,907,414,29,14,8,27,33,0
HHS Regions,Region 6,2016,XX,350,73,34,2,45,8,9,0
HHS Regions,Region 7,2016,XX,144,72,2,5,2,3,13,0
HHS Regions,Region 8,2016,XX,439,196,68,0,8,16,56,0
HHS Regions,Region 9,2016,XX,932,226,90,5,52,33,110,0
HHS Regions,Region 10,2016,XX,406,134,13,1,49,6,41,0
HHS Regions,Region 1,2016,XX,306,198,10,1,10,8,3,0
HHS Regions,Region 2,2016,XX,307,143,8,3,2,28,13,0
HHS Regions,Region 3,2016,XX,636,294,10,1,17,24,39,0
HHS Regions,Region 4,2016,XX,367,119,9,2,26,9,7,0
HHS Regions,Region 5,2016,XX,645,262,19,6,6,25,29,0
HHS Regions,Region 6,2016,XX,294,51,41,1,26,9,10,0
HHS Regions,Region 7,2016,XX,71,33,1,0,1,4,7,0
HHS Regions,Region 8,2016,XX,308,135,35,1,10,7,34,0
HHS Regions,Region 9,2016,XX,825,175,74,7,50,34,103,0
HHS Regions,Region 10,2016,XX,352,104,6,2,37,6,33,0
HHS Regions,Region 1,2016,XX,288,139,5,0,31,5,6,0
HHS Regions,Region 2,2016,XX,270,123,6,2,10,14,11,0
HHS Regions,Region 3,2016,XX,489,196,8,4,13,30,38,0
HHS Regions,Region 4,2016,XX,289,73,13,2,14,5,5,0
HHS Regions,Region 5,2016,XX,470,130,14,3,0,10,23,0
HHS Regions,Region 6,2016,XX,249,36,33,2,17,11,19,0
HHS Regions,Region 7,2016,XX,82,39,3,2,1,2,5,0
HHS Regions,Region 8,2016,XX,227,86,46,0,8,9,20,0
HHS Regions,Region 9,2016,XX,667,135,62,4,37,26,62,0
HHS Regions,Region 10,2016,XX,326,101,8,0,54,5,18,0
HHS Regions,Region 1,2016,XX,270,102,5,1,55,10,8,0
HHS Regions,Region 2,2016,XX,244,96,8,6,12,15,15,0
HHS Regions,Region 3,2016,XX,379,129,2,0,16,25,29,0
HHS Regions,Region 4,2016,XX,279,58,9,5,22,9,6,0
HHS Regions,Region 5,2016,XX,455,125,9,10,0,14,20,0
HHS Regions,Region 6,2016,XX,261,36,37,1,16,18,17,0
HHS Regions,Region 7,2016,XX,68,24,3,1,2,2,2,0
HHS Regions,Region 8,2016,XX,231,75,33,2,9,13,37,0
HHS Regions,Region 9,2016,XX,605,97,59,7,27,17,61,0
HHS Regions,Region 10,2016,XX,279,65,15,0,49,4,16,0
HHS Regions,Region 1,2016,XX,174,58,1,0,30,6,7,0
HHS Regions,Region 2,2016,XX,187,55,7,2,17,14,8,0
HHS Regions,Region 3,2016,XX,268,65,5,5,13,16,18,0
HHS Regions,Region 4,2016,XX,206,35,12,18,17,4,2,0
HHS Regions,Region 5,2016,XX,401,94,14,3,3,15,16,0
HHS Regions,Region 6,2016,XX,188,14,18,1,10,12,16,0
HHS Regions,Region 7,2016,XX,64,20,4,1,1,3,7,0
HHS Regions,Region 8,2016,XX,151,45,20,0,5,9,31,0
HHS Regions,Region 9,2016,XX,491,81,34,2,33,26,50,0
HHS Regions,Region 10,2016,XX,273,67,20,1,44,1,8,0
HHS Regions,Region 1,2016,XX,146,38,7,1,32,7,3,0
HHS Regions,Region 2,2016,XX,138,26,12,0,9,14,12,0
HHS Regions,Region 3,2016,XX,278,61,3,1,14,25,32,0
HHS Regions,Region 4,2016,XX,204,30,10,5,11,8,10,0
HHS Regions,Region 5,2016,XX,354,60,10,4,4,8,26,0
HHS Regions,Region 6,2016,XX,150,16,13,1,18,4,6,0
HHS Regions,Region 7,2016,XX,49,15,4,1,1,3,1,0
HHS Regions,Region 8,2016,XX,114,37,15,0,0,5,22,0
HHS Regions,Region 9,2016,XX,433,50,30,3,25,12,37,0
HHS Regions,Region 10,2016,XX,224,50,13,0,34,2,13,0
HHS Regions,Region 1,2016,XX,133,26,13,0,25,3,1,0
HHS Regions,Region 2,2016,XX,149,23,9,5,27,12,10,0
HHS Regions,Region 3,2016,XX,269,44,11,1,23,26,37,0
HHS Regions,Region 4,2016,XX,179,29,7,4,27,6,9,0
HHS Regions,Region 5,2016,XX,270,39,6,2,2,12,24,0
HHS Regions,Region 6,2016,XX,145,16,14,0,14,7,7,0
HHS Regions,Region 7,2016,XX,49,11,2,1,0,2,10,0
HHS Regions,Region 8,2016,XX,90,17,13,1,3,6,20,0
HHS Regions,Region 9,2016,XX,368,35,32,1,17,11,39,0
HHS Regions,Region 10,2016,XX,164,36,20,1,20,1,6,0
HHS Regions,Region 1,2016,XX,93,20,13,0,11,3,3,0
HHS Regions,Region 2,2016,XX,106,11,17,0,9,7,15,0
HHS Regions,Region 3,2016,XX,228,26,4,0,21,24,22,0
HHS Regions,Region 4,2016,XX,145,18,6,2,15,8,5,0
HHS Regions,Region 5,2016,XX,231,20,13,0,1,16,14,0
HHS Regions,Region 6,2016,XX,127,4,9,0,8,1,10,0
HHS Regions,Region 7,2016,XX,32,6,1,1,0,3,3,0
HHS Regions,Region 8,2016,XX,74,11,6,0,2,4,17,0
HHS Regions,Region 9,2016,XX,287,26,20,2,9,10,26,0
HHS Regions,Region 10,2016,XX,168,25,9,0,18,2,4,0
HHS Regions,Region 1,2016,XX,42,8,10,0,5,1,5,0
HHS Regions,Region 2,2016,XX,81,1,5,1,19,13,2,0
HHS Regions,Region 3,2016,XX,178,11,6,0,6,14,22,0
HHS Regions,Region 4,2016,XX,129,10,9,0,16,3,6,0
HHS Regions,Region 5,2016,XX,197,5,6,1,1,5,10,0
HHS Regions,Region 6,2016,XX,96,0,4,0,5,1,7,0
HHS Regions,Region 7,2016,XX,22,5,0,0,0,2,1,0
HHS Regions,Region 8,2016,XX,57,6,6,0,2,3,10,0
HHS Regions,Region 9,2016,XX,213,16,11,0,8,9,17,0
HHS Regions,Region 10,2016,XX,110,15,2,0,18,2,2,0
HHS Regions,Region 1,2016,XX,17,2,3,0,2,0,1,0
HHS Regions,Region 2,2016,XX,55,3,2,0,8,2,7,0
HHS Regions,Region 3,2016,XX,141,3,0,0,8,16,9,0
HHS Regions,Region 4,2016,XX,136,9,29,2,9,2,3,0
HHS Regions,Region 5,2016,XX,161,4,6,0,0,9,6,0
HHS Regions,Region 6,2016,XX,92,2,2,0,8,1,5,0
HHS Regions,Region 7,2016,XX,19,4,3,0,0,0,3,0
HHS Regions,Region 8,2016,XX,46,3,6,0,0,1,11,0
HHS Regions,Region 9,2016,XX,236,17,7,0,9,4,26,0
HHS Regions,Region 10,2016,XX,116,6,4,0,9,1,0,0
HHS Regions,Region 1,2016,XX,18,3,4,0,3,0,1,0
HHS Regions,Region 2,2016,XX,52,3,4,0,4,2,14,0
HHS Regions,Region 3,2016,XX,100,3,0,0,5,5,7,0
HHS Regions,Region 4,2016,XX,118,3,32,2,7,1,0,0
HHS Regions,Region 5,2016,XX,138,6,1,1,1,2,8,0
HHS Regions,Region 6,2016,XX,71,2,11,0,7,2,2,0
HHS Regions,Region 7,2016,XX,11,1,0,0,0,0,0,0
HHS Regions,Region 8,2016,XX,30,2,2,0,0,1,8,0
HHS Regions,Region 9,2016,XX,192,10,22,1,11,1,10,0
HHS Regions,Region 10,2016,XX,86,2,1,0,6,0,0,0
HHS Regions,Region 1,2016,XX,15,2,1,0,1,0,0,0
HHS Regions,Region 2,2016,XX,47,0,5,0,4,6,9,0
HHS Regions,Region 3,2016,XX,62,0,1,0,2,3,3,0
HHS Regions,Region 4,2016,XX,70,0,17,1,13,2,0,0
HHS Regions,Region 5,2016,XX,110,1,2,1,0,4,2,0
HHS Regions,Region 6,2016,XX,58,0,5,0,7,1,1,0
HHS Regions,Region 7,2016,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2016,XX,34,3,4,0,0,2,5,0
HHS Regions,Region 9,2016,XX,157,7,9,0,1,4,12,0
HHS Regions,Region 10,2016,XX,82,3,0,0,2,0,0,0
HHS Regions,Region 1,2016,XX,4,1,0,0,0,0,0,0
HHS Regions,Region 2,2016,XX,36,1,3,0,4,5,10,0
HHS Regions,Region 3,2016,XX,66,0,1,0,3,3,7,0
HHS Regions,Region 4,2016,XX,67,1,2,1,11,0,2,0
