"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
HHS Regions,Region 8,2017,XX,432,6,222,4,1,6,51,0
HHS Regions,Region 9,2017,XX,982,15,555,5,5,4,11,0
HHS Regions,Region 10,2017,XX,362,2,181,0,5,1,3,0
HHS Regions,Region 1,2017,XX,296,2,197,0,24,2,17,0
HHS Regions,Region 2,2017,XX,264,1,152,0,6,4,8,0
HHS Regions,Region 3,2017,XX,754,2,448,0,10,8,49,0
HHS Regions,Region 4,2017,XX,815,10,353,1,34,42,24,0
HHS Regions,Region 5,2017,XX,1135,8,517,5,6,60,83,0
HHS Regions,Region 6,2017,XX,449,13,191,1,11,2,29,0
HHS Regions,Region 7,2017,XX,210,5,111,3,1,10,15,0
HHS Regions,Region 8,2017,XX,353,9,152,3,1,9,66,0
HHS Regions,Region 9,2017,XX,763,16,371,4,3,13,7,0
HHS Regions,Region 10,2017,XX,294,2,125,0,8,3,2,0
HHS Regions,Region 1,2017,XX,292,3,183,0,15,1,21,0
HHS Regions,Region 2,2017,XX,212,1,120,0,7,4,10,0
HHS Regions,Region 3,2017,XX,857,6,453,0,16,14,85,0
HHS Regions,Region 4,2017,XX,850,29,344,1,28,49,24,0
HHS Regions,Region 5,2017,XX,1084,7,517,4,6,53,100,0
HHS Regions,Region 6,2017,XX,381,19,156,3,3,4,26,0
HHS Regions,Region 7,2017,XX,196,2,94,0,3,6,14,0
HHS Regions,Region 8,2017,XX,313,3,122,0,1,14,58,0
HHS Regions,Region 9,2017,XX,607,14,282,3,3,12,11,0
HHS Regions,Region 10,2017,XX,260,3,93,1,7,2,4,0
HHS Regions,Region 1,2017,XX,188,0,105,1,14,3,17,0
HHS Regions,Region 2,2017,XX,178,0,67,0,12,2,25,0
HHS Regions,Region 3,2017,XX,679,7,256,0,18,12,78,0
HHS Regions,Region 4,2017,XX,589,7,178,7,17,37,20,0
HHS Regions,Region 5,2017,XX,870,5,358,1,9,56,91,0
HHS Regions,Region 6,2017,XX,266,11,105,0,4,8,21,0
HHS Regions,Region 7,2017,XX,121,1,38,1,2,7,8,0
HHS Regions,Region 8,2017,XX,289,4,84,1,3,17,76,0
HHS Regions,Region 9,2017,XX,588,18,235,2,12,6,18,0
HHS Regions,Region 10,2017,XX,219,1,65,0,11,1,4,0
HHS Regions,Region 1,2017,XX,161,0,74,0,29,4,13,0
HHS Regions,Region 2,2017,XX,133,1,48,0,9,5,5,0
HHS Regions,Region 3,2017,XX,555,2,199,2,19,9,74,0
HHS Regions,Region 4,2017,XX,546,11,178,7,22,32,35,0
HHS Regions,Region 5,2017,XX,800,5,260,0,3,59,100,0
HHS Regions,Region 6,2017,XX,322,12,126,0,8,4,34,0
HHS Regions,Region 7,2017,XX,87,0,41,0,0,5,7,0
HHS Regions,Region 8,2017,XX,272,7,70,1,5,9,85,0
HHS Regions,Region 9,2017,XX,545,12,204,3,5,8,28,0
HHS Regions,Region 10,2017,XX,195,0,56,1,7,3,8,0
HHS Regions,Region 1,2017,XX,94,0,30,0,17,1,18,0
HHS Regions,Region 2,2017,XX,103,0,33,0,5,2,14,0
HHS Regions,Region 3,2017,XX,452,3,130,0,20,13,76,0
HHS Regions,Region 4,2017,XX,610,6,113,6,45,33,30,0
HHS Regions,Region 5,2017,XX,699,5,181,1,1,51,130,0
HHS Regions,Region 6,2017,XX,254,6,98,0,4,5,28,0
HHS Regions,Region 7,2017,XX,72,0,28,0,3,2,17,0
HHS Regions,Region 8,2017,XX,252,3,66,0,2,20,79,0
HHS Regions,Region 9,2017,XX,518,4,187,4,11,11,45,0
HHS Regions,Region 10,2017,XX,183,1,42,0,14,3,3,0
HHS Regions,Region 1,2017,XX,147,1,46,0,27,4,34,0
HHS Regions,Region 2,2017,XX,121,0,33,0,7,6,17,0
HHS Regions,Region 3,2017,XX,497,4,138,0,15,17,108,0
HHS Regions,Region 4,2017,XX,571,8,153,0,37,58,37,0
HHS Regions,Region 5,2017,XX,742,4,170,3,5,71,171,0
HHS Regions,Region 6,2017,XX,232,3,71,0,6,8,33,0
HHS Regions,Region 7,2017,XX,79,0,16,0,3,3,15,0
HHS Regions,Region 8,2017,XX,177,7,44,0,5,12,69,0
HHS Regions,Region 9,2017,XX,488,3,133,1,6,13,30,0
HHS Regions,Region 10,2017,XX,158,1,39,0,13,1,9,0
HHS Regions,Region 1,2017,XX,168,0,54,0,28,7,45,0
HHS Regions,Region 2,2017,XX,125,2,30,0,19,5,12,0
HHS Regions,Region 3,2017,XX,501,6,115,0,29,19,95,0
HHS Regions,Region 4,2017,XX,505,6,98,0,73,29,29,0
HHS Regions,Region 5,2017,XX,724,3,140,2,7,51,223,0
HHS Regions,Region 6,2017,XX,209,2,33,0,4,10,38,0
HHS Regions,Region 7,2017,XX,58,0,15,0,6,1,13,0
HHS Regions,Region 8,2017,XX,172,0,25,0,9,12,75,0
HHS Regions,Region 9,2017,XX,399,7,95,0,2,9,45,0
HHS Regions,Region 10,2017,XX,186,1,50,1,41,0,1,0
HHS Regions,Region 1,2017,XX,176,0,45,1,6,12,70,0
HHS Regions,Region 2,2017,XX,125,0,35,0,15,7,21,0
HHS Regions,Region 3,2017,XX,338,3,49,0,14,11,59,0
HHS Regions,Region 4,2017,XX,315,2,50,3,38,18,21,0
HHS Regions,Region 5,2017,XX,531,2,66,0,4,42,161,0
HHS Regions,Region 6,2017,XX,122,1,16,0,3,8,9,0
HHS Regions,Region 7,2017,XX,40,1,5,0,4,1,4,0
HHS Regions,Region 8,2017,XX,128,1,10,0,6,11,61,0
HHS Regions,Region 9,2017,XX,367,7,75,0,4,7,39,0
HHS Regions,Region 10,2017,XX,164,0,23,0,39,0,5,0
HHS Regions,Region 1,2017,XX,143,2,27,0,2,6,66,0
HHS Regions,Region 2,2017,XX,91,0,9,0,9,8,14,0
HHS Regions,Region 3,2017,XX,184,1,11,0,8,4,40,0
HHS Regions,Region 4,2017,XX,186,1,27,0,21,2,4,0
HHS Regions,Region 5,2017,XX,422,0,46,1,15,22,114,0
HHS Regions,Region 6,2017,XX,110,0,16,0,1,5,19,0
HHS Regions,Region 7,2017,XX,30,0,2,0,0,1,7,0
HHS Regions,Region 8,2017,XX,89,0,9,0,5,2,46,0
HHS Regions,Region 9,2017,XX,300,1,51,0,4,15,52,0
HHS Regions,Region 10,2017,XX,160,0,23,0,27,1,10,0
HHS Regions,Region 1,2017,XX,90,1,12,1,1,9,36,0
HHS Regions,Region 2,2017,XX,57,1,5,0,6,1,10,0
HHS Regions,Region 3,2017,XX,202,1,4,0,10,8,35,0
HHS Regions,Region 4,2017,XX,195,0,17,1,22,5,5,0
HHS Regions,Region 5,2017,XX,406,0,32,0,6,13,73,0
HHS Regions,Region 6,2017,XX,87,0,6,0,4,3,9,0
HHS Regions,Region 7,2017,XX,25,0,1,0,2,1,9,0
HHS Regions,Region 8,2017,XX,55,1,5,0,2,2,16,0
HHS Regions,Region 9,2017,XX,305,4,51,0,6,10,51,0
HHS Regions,Region 10,2017,XX,127,3,11,0,26,2,2,0
HHS Regions,Region 1,2017,XX,53,0,4,0,0,1,18,0
HHS Regions,Region 2,2017,XX,58,1,6,0,1,3,9,0
HHS Regions,Region 3,2017,XX,158,0,9,0,2,9,6,0
HHS Regions,Region 4,2017,XX,154,1,12,2,10,3,8,0
HHS Regions,Region 5,2017,XX,314,1,8,0,3,13,45,0
HHS Regions,Region 6,2017,XX,77,0,9,0,2,3,8,0
HHS Regions,Region 7,2017,XX,11,0,0,0,0,1,2,0
HHS Regions,Region 8,2017,XX,43,0,7,0,2,3,13,0
HHS Regions,Region 9,2017,XX,308,4,65,0,9,15,65,0
HHS Regions,Region 10,2017,XX,124,0,13,0,23,0,4,0
HHS Regions,Region 1,2017,XX,38,0,4,0,1,0,17,0
HHS Regions,Region 2,2017,XX,21,0,3,0,1,1,3,0
HHS Regions,Region 3,2017,XX,169,0,3,0,2,5,8,0
HHS Regions,Region 4,2017,XX,107,0,12,0,6,5,3,0
HHS Regions,Region 5,2017,XX,239,1,9,0,13,4,20,0
HHS Regions,Region 6,2017,XX,66,0,4,0,1,2,8,0
HHS Regions,Region 7,2017,XX,12,0,0,0,1,0,2,0
HHS Regions,Region 8,2017,XX,35,0,9,0,1,0,14,0
HHS Regions,Region 9,2017,XX,256,4,35,2,5,14,44,0
HHS Regions,Region 10,2017,XX,97,0,3,0,19,0,3,0
HHS Regions,Region 1,2017,XX,24,0,3,0,0,0,2,0
HHS Regions,Region 2,2017,XX,29,0,4,0,3,1,4,0
HHS Regions,Region 3,2017,XX,125,1,1,0,0,0,5,0
HHS Regions,Region 4,2017,XX,101,0,15,2,11,3,2,0
HHS Regions,Region 5,2017,XX,163,0,12,0,3,3,12,0
HHS Regions,Region 6,2017,XX,41,0,4,0,3,1,2,0
HHS Regions,Region 7,2017,XX,16,0,1,0,0,1,0,0
HHS Regions,Region 8,2017,XX,52,0,25,0,1,3,12,0
HHS Regions,Region 9,2017,XX,251,2,29,0,3,26,73,0
HHS Regions,Region 10,2017,XX,88,0,3,0,14,0,3,0
HHS Regions,Region 1,2017,XX,10,0,2,0,0,0,2,0
HHS Regions,Region 2,2017,XX,21,0,5,0,1,2,4,0
HHS Regions,Region 3,2017,XX,82,1,3,0,0,2,1,0
HHS Regions,Region 4,2017,XX,85,0,4,0,13,3,3,0
HHS Regions,Region 5,2017,XX,152,0,3,1,0,1,10,0
HHS Regions,Region 6,2017,XX,43,0,10,0,0,1,2,0
HHS Regions,Region 7,2017,XX,11,0,0,0,0,0,1,0
HHS Regions,Region 8,2017,XX,71,1,13,0,1,3,27,0
HHS Regions,Region 9,2017,XX,229,3,22,0,7,21,61,0
HHS Regions,Region 10,2017,XX,78,0,1,0,11,0,3,0
HHS Regions,Region 1,2017,XX,5,0,0,0,0,0,1,0
HHS Regions,Region 2,2017,XX,18,0,2,0,0,2,1,0
HHS Regions,Region 3,2017,XX,51,0,0,0,0,0,1,0
HHS Regions,Region 4,2017,XX,75,1,5,0,4,0,0,0
HHS Regions,Region 5,2017,XX,98,0,2,0,0,2,5,0
HHS Regions,Region 6,2017,XX,38,0,0,0,2,0,3,0
HHS Regions,Region 7,2017,XX,7,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,36,1,9,0,1,3,10,0
HHS Regions,Region 9,2017,XX,229,4,23,0,9,19,57,0
HHS Regions,Region 10,2017,XX,73,0,0,0,7,0,2,0
HHS Regions,Region 1,2017,XX,2,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,12,1,1,0,0,3,1,0
HHS Regions,Region 3,2017,XX,46,0,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,51,0,2,0,4,3,0,0
HHS Regions,Region 5,2017,XX,66,0,1,0,0,3,4,0
HHS Regions,Region 6,2017,XX,37,0,4,0,2,0,1,0
HHS Regions,Region 7,2017,XX,3,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,33,0,8,0,0,7,8,0
HHS Regions,Region 9,2017,XX,208,0,20,0,4,34,43,0
HHS Regions,Region 10,2017,XX,86,0,3,0,7,0,3,0
HHS Regions,Region 1,2017,XX,2,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,9,0,2,0,0,2,1,0
HHS Regions,Region 3,2017,XX,46,0,5,0,0,0,1,0
HHS Regions,Region 4,2017,XX,45,0,2,0,5,2,0,0
HHS Regions,Region 5,2017,XX,49,0,2,0,0,1,1,0
HHS Regions,Region 6,2017,XX,28,0,1,0,2,0,7,0
HHS Regions,Region 7,2017,XX,2,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,21,0,3,0,0,2,7,0
HHS Regions,Region 9,2017,XX,178,4,15,0,5,15,46,0
HHS Regions,Region 10,2017,XX,72,1,2,0,7,0,0,0
HHS Regions,Region 1,2017,XX,3,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,8,0,4,0,0,1,1,0
HHS Regions,Region 3,2017,XX,21,0,0,0,0,0,1,0
HHS Regions,Region 4,2017,XX,43,0,2,1,2,0,0,0
HHS Regions,Region 5,2017,XX,49,3,1,0,0,0,1,0
HHS Regions,Region 6,2017,XX,30,0,1,0,1,1,4,0
HHS Regions,Region 7,2017,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,13,0,1,0,0,1,7,0
HHS Regions,Region 9,2017,XX,182,5,31,0,1,8,29,0
HHS Regions,Region 10,2017,XX,42,0,2,0,5,0,1,0
HHS Regions,Region 1,2017,XX,2,0,2,0,0,0,0,0
HHS Regions,Region 2,2017,XX,7,0,2,0,3,0,0,0
HHS Regions,Region 3,2017,XX,22,0,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,40,1,6,0,1,0,1,0
HHS Regions,Region 5,2017,XX,55,0,3,0,0,0,1,0
HHS Regions,Region 6,2017,XX,25,0,1,0,1,0,1,0
HHS Regions,Region 7,2017,XX,5,0,1,0,0,0,0,0
HHS Regions,Region 8,2017,XX,10,0,3,0,0,3,1,0
HHS Regions,Region 9,2017,XX,167,3,19,0,3,8,26,0
HHS Regions,Region 10,2017,XX,45,1,3,0,0,0,1,0
HHS Regions,Region 1,2017,XX,6,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,14,0,9,0,0,0,0,0
HHS Regions,Region 3,2017,XX,18,0,1,0,0,0,0,0
HHS Regions,Region 4,2017,XX,48,1,8,0,3,0,0,0
HHS Regions,Region 5,2017,XX,57,2,2,0,0,0,1,0
HHS Regions,Region 6,2017,XX,34,1,8,0,0,0,0,0
HHS Regions,Region 7,2017,XX,7,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,4,0,1,0,0,0,1,0
HHS Regions,Region 9,2017,XX,113,1,6,1,1,4,18,0
HHS Regions,Region 10,2017,XX,54,0,4,0,3,0,1,0
HHS Regions,Region 1,2017,XX,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,9,0,4,0,0,0,0,0
HHS Regions,Region 3,2017,XX,21,1,1,0,0,0,0,0
HHS Regions,Region 4,2017,XX,38,1,4,0,3,0,0,0
HHS Regions,Region 5,2017,XX,46,1,3,0,0,0,0,0
HHS Regions,Region 6,2017,XX,17,0,2,0,0,0,0,0
HHS Regions,Region 7,2017,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,8,0,1,0,0,0,3,0
HHS Regions,Region 9,2017,XX,111,5,12,0,0,7,4,0
HHS Regions,Region 10,2017,XX,35,2,2,0,1,0,0,0
HHS Regions,Region 1,2017,XX,5,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,3,0,2,0,1,0,0,0
HHS Regions,Region 3,2017,XX,13,0,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,54,2,9,0,2,0,0,0
HHS Regions,Region 5,2017,XX,59,0,0,0,0,0,2,2
HHS Regions,Region 6,2017,XX,24,0,2,0,0,0,0,0
HHS Regions,Region 7,2017,XX,11,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,8,0,1,0,0,0,3,0
HHS Regions,Region 9,2017,XX,110,2,11,0,1,5,4,0
HHS Regions,Region 10,2017,XX,58,0,5,0,7,0,0,0
HHS Regions,Region 1,2017,XX,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,8,0,3,0,0,0,0,0
HHS Regions,Region 3,2017,XX,6,0,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,54,1,2,0,7,0,0,0
HHS Regions,Region 5,2017,XX,88,2,5,0,0,0,0,9
HHS Regions,Region 6,2017,XX,24,0,1,0,0,0,0,0
HHS Regions,Region 7,2017,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,20,0,3,0,1,0,0,0
HHS Regions,Region 9,2017,XX,104,5,5,0,0,0,7,0
HHS Regions,Region 10,2017,XX,38,0,6,0,0,0,0,0
HHS Regions,Region 1,2017,XX,2,0,2,0,0,0,0,0
HHS Regions,Region 2,2017,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 3,2017,XX,14,1,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,42,1,9,0,3,0,1,0
HHS Regions,Region 5,2017,XX,70,3,7,1,0,0,1,0
HHS Regions,Region 6,2017,XX,29,0,2,0,0,0,0,0
HHS Regions,Region 7,2017,XX,0,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,6,0,1,0,0,0,0,0
HHS Regions,Region 9,2017,XX,127,2,6,3,0,1,19,0
HHS Regions,Region 10,2017,XX,34,0,3,0,0,0,0,0
HHS Regions,Region 1,2017,XX,0,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,7,1,3,0,1,0,0,0
HHS Regions,Region 3,2017,XX,22,0,0,0,0,0,0,0
HHS Regions,Region 4,2017,XX,35,1,14,0,2,0,0,0
HHS Regions,Region 5,2017,XX,61,1,7,0,0,0,0,4
HHS Regions,Region 6,2017,XX,26,0,0,0,0,0,0,0
HHS Regions,Region 7,2017,XX,4,0,3,0,0,0,0,0
HHS Regions,Region 8,2017,XX,11,0,3,0,0,0,1,1
HHS Regions,Region 9,2017,XX,97,5,7,0,0,0,7,0
HHS Regions,Region 10,2017,XX,42,0,4,0,0,0,0,0
HHS Regions,Region 1,2017,XX,2,1,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,4,0,3,0,0,0,0,0
HHS Regions,Region 3,2017,XX,15,1,1,0,0,0,0,1
HHS Regions,Region 4,2017,XX,52,0,10,0,6,0,0,0
HHS Regions,Region 5,2017,XX,55,0,7,0,1,0,1,0
HHS Regions,Region 6,2017,XX,24,1,1,0,0,0,0,0
HHS Regions,Region 7,2017,XX,1,0,1,0,0,0,0,0
HHS Regions,Region 8,2017,XX,9,0,5,0,0,0,0,0
HHS Regions,Region 9,2017,XX,91,1,9,0,0,0,19,0
HHS Regions,Region 10,2017,XX,46,0,4,0,0,0,0,0
HHS Regions,Region 1,2017,XX,4,0,0,0,0,0,1,0
HHS Regions,Region 2,2017,XX,5,0,2,0,0,0,0,0
HHS Regions,Region 3,2017,XX,19,0,2,0,0,0,0,0
HHS Regions,Region 4,2017,XX,45,0,5,0,0,0,0,0
HHS Regions,Region 5,2017,XX,56,2,4,2,0,0,1,0
HHS Regions,Region 6,2017,XX,18,0,0,0,1,0,0,0
HHS Regions,Region 7,2017,XX,2,0,1,0,0,0,0,0
HHS Regions,Region 8,2017,XX,12,0,0,0,0,0,0,0
HHS Regions,Region 9,2017,XX,79,3,10,1,0,0,7,0
HHS Regions,Region 10,2017,XX,37,0,2,0,0,0,0,0
HHS Regions,Region 1,2017,XX,3,0,0,0,0,0,0,0
HHS Regions,Region 2,2017,XX,5,0,3,0,0,0,0,0
HHS Regions,Region 3,2017,XX,25,0,4,0,0,0,0,0
HHS Regions,Region 4,2017,XX,43,1,6,0,0,0,0,0
HHS Regions,Region 5,2017,XX,51,0,11,0,0,0,1,0
HHS Regions,Region 6,2017,XX,47,0,8,0,8,0,0,0
HHS Regions,Region 7,2017,XX,3,0,1,0,0,0,0,0
HHS Regions,Region 8,2017,XX,10,0,2,0,0,0,0,0
HHS Regions,Region 9,2017,XX,87,4,10,1,0,0,6,0
HHS Regions,Region 10,2017,XX,62,1,9,1,0,0,1,0
HHS Regions,Region 1,2017,XX,7,0,2,0,0,0,0,0
HHS Regions,Region 2,2017,XX,4,0,0,0,0,0,0,0
HHS Regions,Region 3,2017,XX,24,0,1,0,0,0,0,0
HHS Regions,Region 4,2017,XX,47,2,5,1,2,0,0,0
HHS Regions,Region 5,2017,XX,65,4,12,0,0,0,0,0
HHS Regions,Region 6,2017,XX,66,0,3,0,5,0,0,0
HHS Regions,Region 7,2017,XX,8,0,4,0,0,0,0,0
HHS Regions,Region 8,2017,XX,11,0,4,0,0,0,0,0
HHS Regions,Region 9,2017,XX,90,4,10,0,0,0,0,0
HHS Regions,Region 10,2017,XX,87,8,21,0,0,0,0,0
HHS Regions,Region 1,2017,XX,5,0,3,0,0,0,0,0
HHS Regions,Region 2,2017,XX,3,0,0,0,0,0,0,0
HHS Regions,Region 3,2017,XX,31,1,4,0,0,0,0,0
HHS Regions,Region 4,2017,XX,48,3,12,0,0,0,4,0
HHS Regions,Region 5,2017,XX,71,2,23,1,0,0,1,0
HHS Regions,Region 6,2017,XX,50,0,9,0,1,0,0,0
HHS Regions,Region 7,2017,XX,13,1,1,0,0,0,0,0
HHS Regions,Region 8,2017,XX,13,0,6,0,0,0,1,0
HHS Regions,Region 9,2017,XX,83,3,12,0,0,0,7,0
HHS Regions,Region 10,2017,XX,93,2,33,0,2,0,0,0
HHS Regions,Region 1,2017,XX,4,0,3,0,0,0,0,0
HHS Regions,Region 2,2017,XX,7,0,1,0,1,0,0,0
HHS Regions,Region 3,2017,XX,73,1,4,0,0,1,0,0
HHS Regions,Region 4,2017,XX,51,1,8,0,4,0,2,0
HHS Regions,Region 5,2017,XX,153,3,29,0,2,0,3,0
HHS Regions,Region 6,2017,XX,68,0,6,0,8,0,0,0
HHS Regions,Region 7,2017,XX,9,0,0,0,0,0,0,0
HHS Regions,Region 8,2017,XX,30,0,14,0,0,0,1,0
HHS Regions,Region 9,2017,XX,115,2,20,0,0,0,9,0
HHS Regions,Region 10,2017,XX,102,1,22,0,0,0,0,0
HHS Regions,Region 1,2017,XX,9,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,19,0,3,0,1,0,0,0
HHS Regions,Region 3,2017,XX,134,0,6,0,0,0,0,16
HHS Regions,Region 4,2017,XX,49,0,6,1,0,0,2,0
HHS Regions,Region 5,2017,XX,172,1,27,1,1,0,2,1
HHS Regions,Region 6,2017,XX,67,0,2,0,5,1,2,0
HHS Regions,Region 7,2017,XX,12,0,2,0,0,0,0,0
HHS Regions,Region 8,2017,XX,24,0,9,0,0,0,1,0
HHS Regions,Region 9,2017,XX,143,1,24,1,1,0,10,0
HHS Regions,Region 10,2017,XX,105,0,19,0,2,0,1,0
HHS Regions,Region 1,2017,XX,8,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,12,0,0,0,0,0,0,0
HHS Regions,Region 3,2017,XX,175,0,5,0,0,0,0,24
HHS Regions,Region 4,2017,XX,69,6,17,0,0,0,1,0
HHS Regions,Region 5,2017,XX,174,3,24,0,0,0,0,0
HHS Regions,Region 6,2017,XX,75,0,1,0,1,0,2,0
HHS Regions,Region 7,2017,XX,30,0,13,0,0,0,0,0
HHS Regions,Region 8,2017,XX,36,0,6,0,0,0,5,0
HHS Regions,Region 9,2017,XX,140,1,19,1,0,0,1,0
HHS Regions,Region 10,2017,XX,61,0,19,0,1,0,1,0
HHS Regions,Region 1,2017,XX,18,1,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,16,0,1,0,0,0,0,0
HHS Regions,Region 3,2017,XX,135,0,4,0,0,0,1,0
HHS Regions,Region 4,2017,XX,77,7,14,1,1,0,1,0
HHS Regions,Region 5,2017,XX,169,1,18,0,0,0,2,0
HHS Regions,Region 6,2017,XX,74,1,4,0,0,0,2,0
HHS Regions,Region 7,2017,XX,23,0,3,0,0,0,0,0
HHS Regions,Region 8,2017,XX,50,1,13,0,1,0,4,0
HHS Regions,Region 9,2017,XX,118,0,29,1,4,0,3,0
HHS Regions,Region 10,2017,XX,22,1,7,0,1,0,0,0
HHS Regions,Region 1,2017,XX,20,0,4,0,0,0,0,0
HHS Regions,Region 2,2017,XX,15,1,1,0,0,0,0,0
HHS Regions,Region 3,2017,XX,139,0,9,0,0,0,1,0
HHS Regions,Region 4,2017,XX,71,5,17,0,2,0,0,0
HHS Regions,Region 5,2017,XX,179,2,16,1,0,0,4,0
HHS Regions,Region 6,2017,XX,84,1,12,1,1,0,1,0
HHS Regions,Region 7,2017,XX,35,1,4,0,0,0,2,0
HHS Regions,Region 8,2017,XX,41,1,15,0,0,1,0,0
HHS Regions,Region 9,2017,XX,117,1,35,2,4,0,1,0
HHS Regions,Region 10,2017,XX,15,0,3,0,0,0,0,0
HHS Regions,Region 1,2017,XX,19,0,1,0,0,0,0,0
HHS Regions,Region 2,2017,XX,18,0,0,0,0,0,0,0
HHS Regions,Region 3,2017,XX,113,0,1,0,0,0,0,0
HHS Regions,Region 4,2017,XX,54,0,14,2,0,0,0,0
HHS Regions,Region 5,2017,XX,133,0,5,2,0,0,1,0
HHS Regions,Region 6,2017,XX,67,0,11,0,0,0,1,0
HHS Regions,Region 7,2017,XX,22,0,3,2,0,0,0,0
HHS Regions,Region 8,2017,XX,26,1,5,0,0,0,0,0
HHS Regions,Region 9,2017,XX,101,1,28,0,1,0,0,0
HHS Regions,Region 10,2017,XX,18,1,1,0,0,0,0,0
